customer_id,age,average_purchase,loyalty_score,preferred_color,membership_level,is_active,has_subscription,marketing_consent,last_feedback,registration_date,membership_duration_days,tags
12,55,111.02,3.1,Blue,Bronze,False,1,Yes,Customer feedback 11: Great service!,2024-08-18 09:44:26.081084,493.3,"{'interests': ['Technology', 'Fashion'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
13,19,131.25,0.0,Red,Silver,True,0,No,Customer feedback 12: Great service!,2022-09-12 09:44:26.081087,40.1,"{'interests': ['Sports', 'Food'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
14,81,110.51,6.8,Red,Platinum,True,1,Yes,Customer feedback 13: Excellent products,2024-04-25 09:44:26.081089,984.3,"{'interests': ['Technology', 'Fashion'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
15,77,93.1,1.7,Black,Silver,True,0,Yes,Customer feedback 14: Could be better,2025-01-14 09:44:26.081091,383.5,"{'interests': ['Technology', 'Sports'], 'source': np.str_('Store'), 'priority': np.str_('Low')}"
16,38,73.56,6.6,Black,Bronze,True,0,Yes,Customer feedback 15: Excellent products,2024-04-16 09:44:26.081094,152.2,"{'interests': ['Fashion', 'Sports'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
17,50,84.91,9.9,Black,Gold,True,0,Yes,Customer feedback 16: Need improvement,2024-03-04 09:44:26.081096,666.7,"{'interests': ['Sports', 'Fashion'], 'source': np.str_('Web'), 'priority': np.str_('High')}"
18,75,93.57,0.7,Red,Gold,False,0,Yes,Customer feedback 17: Great service!,2024-06-18 09:44:26.081098,284.3,"{'interests': ['Food', 'Fashion'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
19,39,134.08,0.8,Blue,Silver,True,0,No,Customer feedback 18: Need improvement,2024-01-05 09:44:26.081100,585.8,"{'interests': ['Food', 'Sports'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
20,66,119.25,3.4,Yellow,Bronze,False,0,Yes,Customer feedback 19: Excellent products,2022-12-13 09:44:26.081103,586.8,"{'interests': ['Food', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('High')}"
21,76,108.26,8.7,Black,Gold,False,0,Yes,Customer feedback 20: Great service!,2023-06-03 09:44:26.081105,445.7,"{'interests': ['Technology', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('Low')}"
22,59,121.75,2.2,Blue,Silver,True,0,Yes,Customer feedback 21: Need improvement,2022-07-20 09:44:26.081107,836.1,"{'interests': ['Food', 'Food'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
23,77,113.18,3.6,Green,Silver,False,1,No,Customer feedback 22: Need improvement,2024-11-27 09:44:26.081109,265.0,"{'interests': ['Fashion', 'Sports'], 'source': np.str_('Web'), 'priority': np.str_('High')}"
24,32,106.55,0.7,Black,Bronze,True,0,No,Customer feedback 23: Could be better,2023-05-03 09:44:26.081112,448.6,"{'interests': ['Technology', 'Fashion'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
25,79,62.53,7.6,Yellow,Platinum,False,1,No,Customer feedback 24: Great service!,2022-10-08 09:44:26.081114,537.7,"{'interests': ['Food', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
26,79,128.48,4.1,Green,Silver,True,0,No,Customer feedback 25: Need improvement,2023-10-09 09:44:26.081116,663.6,"{'interests': ['Technology', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('High')}"
27,64,88.54,7.6,Green,Platinum,True,1,No,Customer feedback 26: Need improvement,2022-10-19 09:44:26.081118,784.0,"{'interests': ['Technology', 'Technology'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
28,79,127.21,9.0,Yellow,Platinum,False,0,No,Customer feedback 27: Could be better,2024-04-10 09:44:26.081121,394.8,"{'interests': ['Fashion', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
29,68,129.63,2.3,Black,Gold,True,0,No,Customer feedback 28: Need improvement,2023-10-25 09:44:26.081123,646.0,"{'interests': ['Technology', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
30,72,83.25,8.1,Red,Platinum,False,0,Yes,Customer feedback 29: Need improvement,2024-05-26 09:44:26.081125,150.6,"{'interests': ['Fashion', 'Technology'], 'source': np.str_('Web'), 'priority': np.str_('High')}"
31,81,123.74,0.6,Yellow,Bronze,True,1,Yes,Customer feedback 30: Need improvement,2025-01-19 09:44:26.081127,932.6,"{'interests': ['Fashion', 'Fashion'], 'source': np.str_('Web'), 'priority': np.str_('High')}"
32,20,90.98,9.0,Yellow,Gold,True,1,No,Customer feedback 31: Could be better,2023-10-06 09:44:26.081129,383.1,"{'interests': ['Technology', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
33,68,91.12,6.5,Yellow,Gold,True,1,Yes,Customer feedback 32: Need improvement,2022-11-15 09:44:26.081132,729.5,"{'interests': ['Sports', 'Fashion'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
34,24,106.44,8.7,Green,Gold,False,1,Yes,Customer feedback 33: Need improvement,2024-09-20 09:44:26.081134,20.3,"{'interests': ['Technology', 'Food'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
35,38,107.11,0.0,Blue,Silver,False,0,No,Customer feedback 34: Great service!,2022-12-13 09:44:26.081136,205.2,"{'interests': ['Sports', 'Food'], 'source': np.str_('Mobile'), 'priority': np.str_('High')}"
36,56,100.96,1.7,Red,Silver,True,0,Yes,Customer feedback 35: Great service!,2025-03-06 09:44:26.081138,487.1,"{'interests': ['Technology', 'Technology'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
37,35,66.64,3.9,Black,Platinum,False,0,Yes,Customer feedback 36: Could be better,2023-04-29 09:44:26.081141,878.3,"{'interests': ['Fashion', 'Food'], 'source': np.str_('Mobile'), 'priority': np.str_('High')}"
38,21,96.96,3.8,Black,Gold,True,1,No,Customer feedback 37: Excellent products,2025-03-19 09:44:26.081143,527.3,"{'interests': ['Food', 'Technology'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
39,77,156.96,2.3,Blue,Gold,False,0,Yes,Customer feedback 38: Great service!,2024-02-06 09:44:26.081145,929.9,"{'interests': ['Food', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
40,31,30.4,3.8,Yellow,Bronze,False,1,No,Customer feedback 39: Could be better,2023-08-24 09:44:26.081147,483.8,"{'interests': ['Food', 'Technology'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
41,26,121.74,1.3,Red,Platinum,True,1,No,Customer feedback 40: Need improvement,2023-01-20 09:44:26.081149,490.4,"{'interests': ['Food', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
42,70,126.43,4.1,Black,Bronze,True,1,Yes,Customer feedback 41: Need improvement,2023-08-20 09:44:26.081152,119.7,"{'interests': ['Fashion', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
43,19,66.04,8.0,Black,Platinum,True,1,Yes,Customer feedback 42: Could be better,2024-02-24 09:44:26.081154,802.7,"{'interests': ['Technology', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
44,77,88.26,4.8,Yellow,Platinum,True,1,Yes,Customer feedback 43: Need improvement,2022-09-07 09:44:26.081156,247.0,"{'interests': ['Technology', 'Food'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
45,88,74.98,0.2,Blue,Silver,True,0,No,Customer feedback 44: Need improvement,2023-07-08 09:44:26.081159,899.6,"{'interests': ['Technology', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
46,61,146.35,4.2,Red,Silver,False,1,No,Customer feedback 45: Excellent products,2023-10-21 09:44:26.081161,910.8,"{'interests': ['Food', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
47,25,127.58,0.3,Blue,Bronze,False,1,No,Customer feedback 46: Need improvement,2022-08-11 09:44:26.081163,943.3,"{'interests': ['Sports', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
48,64,128.79,9.7,Blue,Platinum,True,0,Yes,Customer feedback 47: Great service!,2023-07-30 09:44:26.081165,520.2,"{'interests': ['Sports', 'Food'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
49,52,103.02,1.3,Red,Gold,True,1,Yes,Customer feedback 48: Need improvement,2022-10-13 09:44:26.081167,677.1,"{'interests': ['Sports', 'Sports'], 'source': np.str_('Store'), 'priority': np.str_('Low')}"
50,53,132.8,7.1,Red,Silver,True,1,No,Customer feedback 49: Could be better,2025-01-17 09:44:26.081169,778.5,"{'interests': ['Sports', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
51,67,99.79,9.7,Black,Gold,False,0,Yes,Customer feedback 50: Excellent products,2024-08-18 09:44:26.081172,131.0,"{'interests': ['Food', 'Technology'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
52,21,133.98,8.3,Black,Bronze,True,0,Yes,Customer feedback 51: Need improvement,2022-08-16 09:44:26.081174,601.0,"{'interests': ['Technology', 'Sports'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
53,19,96.28,7.0,Red,Silver,True,0,No,Customer feedback 52: Could be better,2024-06-11 09:44:26.081176,34.3,"{'interests': ['Technology', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
54,23,83.02,8.4,Green,Silver,False,1,No,Customer feedback 53: Great service!,2023-11-11 09:44:26.081178,497.6,"{'interests': ['Sports', 'Technology'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
55,71,145.27,9.8,Black,Platinum,False,0,Yes,Customer feedback 54: Need improvement,2023-04-20 09:44:26.081181,154.8,"{'interests': ['Sports', 'Fashion'], 'source': np.str_('Web'), 'priority': np.str_('High')}"
56,21,99.48,6.2,Green,Bronze,False,0,No,Customer feedback 55: Excellent products,2022-07-25 09:44:26.081183,182.9,"{'interests': ['Sports', 'Technology'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
57,71,77.53,5.6,Red,Platinum,False,0,Yes,Customer feedback 56: Need improvement,2022-08-12 09:44:26.081185,365.0,"{'interests': ['Food', 'Technology'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
58,80,77.26,6.3,Black,Silver,True,1,No,Customer feedback 57: Could be better,2023-09-09 09:44:26.081187,432.4,"{'interests': ['Sports', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
59,35,77.34,5.3,Blue,Bronze,False,0,No,Customer feedback 58: Excellent products,2023-10-14 09:44:26.081189,623.2,"{'interests': ['Technology', 'Sports'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
60,61,121.11,6.4,Red,Silver,False,1,No,Customer feedback 59: Need improvement,2023-08-30 09:44:26.081191,74.4,"{'interests': ['Technology', 'Fashion'], 'source': np.str_('Store'), 'priority': np.str_('Low')}"
61,51,97.53,4.5,Yellow,Bronze,True,1,Yes,Customer feedback 60: Great service!,2023-07-29 09:44:26.081194,503.7,"{'interests': ['Fashion', 'Fashion'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
62,79,157.45,2.2,Green,Silver,True,0,Yes,Customer feedback 61: Excellent products,2022-07-30 09:44:26.081196,182.6,"{'interests': ['Fashion', 'Technology'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
63,31,129.65,1.2,Red,Gold,True,1,No,Customer feedback 62: Great service!,2024-05-13 09:44:26.081198,574.0,"{'interests': ['Food', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('Low')}"
64,65,106.43,0.7,Red,Gold,False,1,No,Customer feedback 63: Could be better,2024-04-06 09:44:26.081200,637.4,"{'interests': ['Technology', 'Technology'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
65,32,135.1,2.6,Black,Platinum,True,0,No,Customer feedback 64: Need improvement,2023-06-05 09:44:26.081203,556.7,"{'interests': ['Technology', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
66,89,87.61,0.5,Black,Gold,False,1,Yes,Customer feedback 65: Great service!,2022-11-11 09:44:26.081205,738.3,"{'interests': ['Fashion', 'Technology'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
67,79,53.63,5.7,Black,Silver,False,0,No,Customer feedback 66: Could be better,2024-04-10 09:44:26.081208,335.6,"{'interests': ['Sports', 'Sports'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
68,57,75.26,2.8,Yellow,Silver,False,1,No,Customer feedback 67: Need improvement,2023-04-29 09:44:26.081210,765.1,"{'interests': ['Technology', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
69,70,103.68,8.2,Black,Gold,True,1,No,Customer feedback 68: Could be better,2023-02-07 09:44:26.081212,432.8,"{'interests': ['Fashion', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
70,41,94.44,0.7,Red,Platinum,False,0,No,Customer feedback 69: Great service!,2024-05-15 09:44:26.081214,484.2,"{'interests': ['Sports', 'Fashion'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
71,43,120.61,2.3,Black,Gold,True,0,Yes,Customer feedback 70: Could be better,2023-05-07 09:44:26.081216,648.1,"{'interests': ['Technology', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('Low')}"
72,77,96.88,7.3,Blue,Bronze,True,1,Yes,Customer feedback 71: Excellent products,2024-05-13 09:44:26.081219,18.4,"{'interests': ['Fashion', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
73,58,118.7,6.0,Black,Bronze,True,1,No,Customer feedback 72: Need improvement,2023-07-19 09:44:26.081221,654.0,"{'interests': ['Sports', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
74,46,137.52,0.6,Yellow,Bronze,False,0,Yes,Customer feedback 73: Could be better,2022-12-31 09:44:26.081223,618.6,"{'interests': ['Fashion', 'Sports'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
75,32,96.81,8.8,Blue,Gold,False,1,Yes,Customer feedback 74: Great service!,2024-10-21 09:44:26.081225,309.8,"{'interests': ['Fashion', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
76,62,113.88,8.8,Red,Gold,False,1,Yes,Customer feedback 75: Need improvement,2023-09-09 09:44:26.081227,85.8,"{'interests': ['Fashion', 'Sports'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
77,82,56.13,3.3,Red,Gold,True,1,No,Customer feedback 76: Excellent products,2023-08-09 09:44:26.081229,90.9,"{'interests': ['Food', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
78,88,96.9,3.4,Green,Bronze,False,1,Yes,Customer feedback 77: Need improvement,2023-01-27 09:44:26.081232,923.2,"{'interests': ['Sports', 'Sports'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
79,26,69.2,9.9,Blue,Platinum,False,0,Yes,Customer feedback 78: Excellent products,2024-01-05 09:44:26.081234,689.3,"{'interests': ['Food', 'Technology'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
80,18,103.63,6.3,Green,Silver,False,0,Yes,Customer feedback 79: Need improvement,2022-08-09 09:44:26.081237,127.1,"{'interests': ['Sports', 'Technology'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
81,25,105.9,5.3,Blue,Gold,False,0,No,Customer feedback 80: Could be better,2024-11-02 09:44:26.081239,356.7,"{'interests': ['Technology', 'Technology'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
82,80,105.82,8.4,Blue,Platinum,False,0,No,Customer feedback 81: Could be better,2023-03-29 09:44:26.081241,592.5,"{'interests': ['Food', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('High')}"
83,28,88.0,2.9,Yellow,Silver,True,0,Yes,Customer feedback 82: Great service!,2024-11-28 09:44:26.081243,835.6,"{'interests': ['Food', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
84,25,157.46,4.3,Green,Silver,True,0,Yes,Customer feedback 83: Excellent products,2024-09-23 09:44:26.081245,43.7,"{'interests': ['Fashion', 'Fashion'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
85,52,68.3,2.7,Yellow,Silver,True,1,No,Customer feedback 84: Great service!,2023-07-17 09:44:26.081248,236.6,"{'interests': ['Sports', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('High')}"
86,52,66.77,7.9,Blue,Platinum,True,0,No,Customer feedback 85: Could be better,2023-02-20 09:44:26.081250,889.7,"{'interests': ['Technology', 'Technology'], 'source': np.str_('Web'), 'priority': np.str_('High')}"
87,50,141.37,5.7,Red,Platinum,False,1,Yes,Customer feedback 86: Excellent products,2023-10-22 09:44:26.081252,9.2,"{'interests': ['Fashion', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
88,22,82.39,6.6,Blue,Bronze,True,1,Yes,Customer feedback 87: Great service!,2025-03-25 09:44:26.081254,201.4,"{'interests': ['Technology', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
89,58,76.38,2.5,Yellow,Platinum,False,1,No,Customer feedback 88: Great service!,2025-01-02 09:44:26.081256,959.0,"{'interests': ['Sports', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
90,45,157.57,2.2,Green,Platinum,True,0,No,Customer feedback 89: Great service!,2024-11-16 09:44:26.081259,613.4,"{'interests': ['Food', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
91,24,124.64,4.9,Green,Platinum,True,1,Yes,Customer feedback 90: Great service!,2023-12-10 09:44:26.081261,261.7,"{'interests': ['Food', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('High')}"
92,89,85.14,7.4,Yellow,Silver,True,0,No,Customer feedback 91: Great service!,2024-01-11 09:44:26.081263,67.0,"{'interests': ['Technology', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
93,29,105.44,5.3,Green,Gold,False,1,Yes,Customer feedback 92: Excellent products,2024-05-06 09:44:26.081265,28.2,"{'interests': ['Fashion', 'Sports'], 'source': np.str_('Store'), 'priority': np.str_('Low')}"
94,51,148.65,0.3,Black,Bronze,False,1,Yes,Customer feedback 93: Great service!,2022-11-17 09:44:26.081268,244.7,"{'interests': ['Sports', 'Technology'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
95,50,117.29,8.7,Red,Gold,True,0,Yes,Customer feedback 94: Excellent products,2024-04-29 09:44:26.081270,881.5,"{'interests': ['Technology', 'Fashion'], 'source': np.str_('Store'), 'priority': np.str_('Low')}"
96,65,132.15,0.6,Red,Gold,False,1,No,Customer feedback 95: Great service!,2022-08-17 09:44:26.081273,415.9,"{'interests': ['Technology', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
97,40,120.12,9.6,Red,Platinum,True,1,Yes,Customer feedback 96: Could be better,2025-02-11 09:44:26.081275,720.3,"{'interests': ['Food', 'Sports'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
98,79,123.26,0.3,Green,Bronze,True,1,Yes,Customer feedback 97: Could be better,2023-04-28 09:44:26.081277,918.3,"{'interests': ['Sports', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('High')}"
99,54,100.99,6.9,Green,Gold,True,1,No,Customer feedback 98: Great service!,2023-12-25 09:44:26.081279,408.0,"{'interests': ['Fashion', 'Technology'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
100,61,100.28,0.8,Blue,Gold,False,0,No,Customer feedback 99: Need improvement,2023-04-17 09:44:26.081282,191.3,"{'interests': ['Food', 'Technology'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
101,52,106.68,9.1,Blue,Bronze,True,1,Yes,Customer feedback 100: Could be better,2023-01-26 09:44:26.081284,517.1,"{'interests': ['Sports', 'Technology'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
102,82,118.36,4.6,Red,Platinum,True,1,Yes,Customer feedback 101: Excellent products,2023-12-16 09:44:26.081286,908.1,"{'interests': ['Sports', 'Technology'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
103,64,92.92,1.4,Black,Gold,True,0,No,Customer feedback 102: Great service!,2024-02-28 09:44:26.081288,804.4,"{'interests': ['Sports', 'Fashion'], 'source': np.str_('Web'), 'priority': np.str_('High')}"
104,20,103.05,3.4,Blue,Silver,False,1,No,Customer feedback 103: Excellent products,2024-01-21 09:44:26.081290,65.8,"{'interests': ['Sports', 'Fashion'], 'source': np.str_('Store'), 'priority': np.str_('Low')}"
105,18,92.24,1.6,Blue,Gold,True,1,No,Customer feedback 104: Need improvement,2022-11-08 09:44:26.081293,692.6,"{'interests': ['Food', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
106,22,102.89,1.7,Green,Silver,False,1,Yes,Customer feedback 105: Great service!,2023-08-08 09:44:26.081295,571.9,"{'interests': ['Technology', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
107,31,68.73,9.5,Black,Platinum,True,1,Yes,Customer feedback 106: Could be better,2022-09-15 09:44:26.081297,907.5,"{'interests': ['Food', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
108,44,165.15,4.5,Red,Gold,False,0,Yes,Customer feedback 107: Excellent products,2022-07-12 09:44:26.081299,122.5,"{'interests': ['Sports', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
109,26,81.68,7.9,Blue,Bronze,True,1,No,Customer feedback 108: Could be better,2022-09-25 09:44:26.081301,534.0,"{'interests': ['Fashion', 'Fashion'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
110,32,90.96,6.4,Black,Bronze,True,0,Yes,Customer feedback 109: Could be better,2023-01-04 09:44:26.081304,879.5,"{'interests': ['Food', 'Fashion'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
111,59,79.52,6.8,Black,Gold,False,1,No,Customer feedback 110: Great service!,2023-06-17 09:44:26.081306,410.0,"{'interests': ['Fashion', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('High')}"
112,68,115.39,1.3,Red,Platinum,False,1,Yes,Customer feedback 111: Excellent products,2023-08-15 09:44:26.081308,482.0,"{'interests': ['Fashion', 'Food'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
113,80,95.1,2.3,Black,Platinum,True,1,No,Customer feedback 112: Need improvement,2023-11-12 09:44:26.081311,70.5,"{'interests': ['Technology', 'Fashion'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
114,69,75.9,7.9,Black,Bronze,False,0,Yes,Customer feedback 113: Could be better,2024-11-02 09:44:26.081313,278.1,"{'interests': ['Technology', 'Sports'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
115,21,116.42,9.7,Black,Gold,True,1,Yes,Customer feedback 114: Great service!,2023-11-07 09:44:26.081315,324.5,"{'interests': ['Fashion', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
116,40,119.79,2.6,Blue,Platinum,True,1,No,Customer feedback 115: Great service!,2023-11-18 09:44:26.081317,945.1,"{'interests': ['Sports', 'Sports'], 'source': np.str_('Web'), 'priority': np.str_('Medium')}"
117,32,98.33,2.7,Red,Bronze,True,0,No,Customer feedback 116: Need improvement,2022-12-02 09:44:26.081319,282.7,"{'interests': ['Sports', 'Food'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
118,60,83.41,4.7,Black,Silver,False,0,Yes,Customer feedback 117: Great service!,2022-10-16 09:44:26.081322,460.9,"{'interests': ['Food', 'Fashion'], 'source': np.str_('Store'), 'priority': np.str_('Medium')}"
119,46,154.78,9.8,Black,Gold,True,0,No,Customer feedback 118: Could be better,2023-02-22 09:44:26.081324,671.3,"{'interests': ['Technology', 'Fashion'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
120,53,108.5,2.7,Blue,Silver,False,0,No,Customer feedback 119: Great service!,2023-05-29 09:44:26.081326,162.2,"{'interests': ['Food', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
121,30,68.15,4.1,Red,Silver,True,1,Yes,Customer feedback 120: Excellent products,2025-03-29 09:44:26.081328,486.4,"{'interests': ['Sports', 'Food'], 'source': np.str_('Store'), 'priority': np.str_('High')}"
122,49,135.35,8.9,Green,Platinum,False,1,No,Customer feedback 121: Excellent products,2023-11-21 09:44:26.081330,738.5,"{'interests': ['Technology', 'Food'], 'source': np.str_('Mobile'), 'priority': np.str_('High')}"
123,88,78.61,0.0,Blue,Platinum,False,1,Yes,Customer feedback 122: Could be better,2023-06-13 09:44:26.081333,866.9,"{'interests': ['Sports', 'Sports'], 'source': np.str_('Mobile'), 'priority': np.str_('Low')}"
124,76,168.55,0.4,Red,Platinum,True,1,Yes,Customer feedback 123: Excellent products,2023-04-18 09:44:26.081335,626.3,"{'interests': ['Sports', 'Food'], 'source': np.str_('Mobile'), 'priority': np.str_('Medium')}"
125,45,101.99,6.0,Black,Gold,False,0,No,Customer feedback 124: Need improvement,2024-12-07 09:44:26.081337,669.1,"{'interests': ['Technology', 'Sports'], 'source': np.str_('Web'), 'priority': np.str_('Low')}"
